City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Manavalakurichi,IN,8.1333,77.3,80.69,75,78,10.89,broken clouds
135,Yilan,TW,24.757,121.753,60.82,95,100,4.79,light rain
136,Khani,GE,41.9563,42.9566,33.37,89,75,4.81,broken clouds
137,Butaritari,KI,3.0707,172.7902,81.77,75,74,12.86,broken clouds
138,Barrow,US,71.2906,-156.7887,-29.18,100,0,8.05,clear sky
139,San Andres,CO,12.5847,-81.7006,86.02,66,40,16.11,scattered clouds
140,Galesong,ID,-5.3166,119.3661,77.02,83,95,5.23,moderate rain
141,Cidreira,BR,-30.1811,-50.2056,71.11,90,100,9.84,moderate rain
142,Suzun,RU,53.7841,82.3116,22.84,92,100,12.66,light snow
143,Taree,AU,-31.9,152.4667,63.1,94,100,3.18,overcast clouds
144,Grand-Lahou,CI,5.1367,-5.0242,79.11,84,100,6.76,light rain
145,Cassilandia,BR,-19.1133,-51.7342,86.52,54,100,6.58,overcast clouds
146,Bodmin,GB,50.4715,-4.7243,48.43,93,75,19.57,mist
147,Dikson,RU,73.5069,80.5464,-3.8,87,100,25.75,overcast clouds
148,Hami,CN,42.8,93.45,27.19,51,98,5.64,overcast clouds
149,Kemijarvi,FI,66.7131,27.4306,23.63,93,100,9.86,overcast clouds
150,Brae,GB,60.3964,-1.353,42.71,87,100,9.28,overcast clouds
151,Besikduzu,TR,41.052,39.2284,46.29,90,100,3.31,overcast clouds
152,Sorland,NO,67.667,12.6934,33.66,59,100,25.3,overcast clouds
153,Los Llanos De Aridane,ES,28.6585,-17.9182,64.13,71,20,10.36,few clouds
154,Faya,SA,18.3851,42.4509,59.11,43,49,4.94,scattered clouds
155,Bengkulu,ID,-3.8004,102.2655,76.5,90,100,4.72,overcast clouds
156,Waipawa,NZ,-41.4122,175.5153,54.23,85,100,11.23,overcast clouds
157,Kodiak,US,57.79,-152.4072,26.11,93,0,6.91,clear sky
158,Padang,ID,-0.9492,100.3543,76.75,84,100,3.44,overcast clouds
159,Sibolga,ID,1.7427,98.7792,75.61,90,100,3.2,overcast clouds
160,Kassala,SD,15.451,36.4,76.8,37,18,10.27,few clouds
161,Bowen,AU,-20.0167,148.2333,73.62,63,78,19.17,broken clouds
162,Mandalgovi,MN,45.7625,106.2708,-5.66,78,92,7.83,overcast clouds
163,Nikolskoye,RU,59.7035,30.7861,33.87,92,100,12.91,light snow
164,Airai,TL,-8.9266,125.4092,58.68,91,35,2.21,scattered clouds
165,Kyshtovka,RU,56.555,76.6271,5.22,98,98,3.24,overcast clouds
166,Ojinaga,MX,29.5667,-104.4167,58.57,35,0,0.0,clear sky
167,Moa,CU,20.6569,-74.9403,83.37,58,0,9.57,clear sky
168,Stargard Szczecinski,PL,53.3367,15.0499,37.47,61,100,3.0,overcast clouds
169,Mosetse,BW,-20.75,26.65,76.19,40,50,11.07,scattered clouds
170,Mmathubudukwane,BW,-24.6,26.4333,75.49,33,6,0.29,clear sky
171,Cherskiy,RU,68.75,161.3,-20.07,97,100,8.03,overcast clouds
172,Qaanaaq,GL,77.484,-69.3632,-8.12,91,100,0.72,overcast clouds
173,Tezu,IN,27.9167,96.1667,54.01,46,0,5.06,clear sky
174,Dingle,PH,10.9995,122.6711,74.5,93,86,6.49,overcast clouds
175,Naifaru,MV,5.4444,73.3657,80.55,78,94,11.88,overcast clouds
176,Sekoma,BW,-24.4,23.8833,78.31,32,28,4.81,scattered clouds
177,Kibala,TD,9.1104,18.3463,87.75,19,0,0.0,clear sky
178,Half Moon Bay,US,37.4636,-122.4286,74.73,64,0,3.44,clear sky
179,Bethel,US,41.3712,-73.414,32.2,75,100,8.05,snow
180,Lompoc,US,34.6391,-120.4579,83.57,28,0,8.05,clear sky
181,Moree,AU,-29.4667,149.85,62.62,72,0,9.22,clear sky
182,Sitka,US,57.0531,-135.33,35.49,87,100,0.0,overcast clouds
183,Naze,JP,28.3667,129.4833,59.52,92,100,10.38,light rain
184,Teya,RU,60.3778,92.6267,-15.47,99,28,3.24,scattered clouds
185,Sovetskiy,RU,61.3614,63.5842,-10.88,100,87,2.13,overcast clouds
186,Nemuro,JP,43.3236,145.575,26.6,84,99,9.1,overcast clouds
187,Chuy,UY,-33.6971,-53.4616,73.45,37,0,14.23,clear sky
188,Lavrentiya,RU,65.5833,-171.0,-21.42,92,24,2.93,few clouds
189,Alihe,CN,50.5667,123.7167,-1.89,99,100,2.64,overcast clouds
190,Aksarka,RU,66.5606,67.7975,-14.1,100,100,2.82,overcast clouds
191,Abdanan,IR,32.9926,47.4198,52.2,40,0,5.37,clear sky
192,Eydhafushi,MV,5.1033,73.0708,81.18,76,77,12.55,broken clouds
193,Port Lincoln,AU,-34.7333,135.8667,65.64,88,84,10.89,broken clouds
194,Gisborne,NZ,-38.6533,178.0042,60.94,77,78,7.92,broken clouds
195,Verkhnevilyuysk,RU,63.4453,120.3167,-20.69,100,100,2.15,overcast clouds
196,Sackville,CA,45.9188,-64.3846,25.48,73,100,8.34,overcast clouds
197,Pritomskiy,RU,53.7724,87.6082,12.92,93,100,4.12,overcast clouds
198,Fairview,US,40.8126,-73.999,33.94,85,100,8.05,snow
199,Deputatskiy,RU,69.3,139.9,-21.26,95,88,6.78,overcast clouds
200,Ostrovnoy,RU,68.0531,39.5131,13.93,70,100,15.9,overcast clouds
201,Beringovskiy,RU,63.05,179.3167,-27.9,97,11,5.79,few clouds
202,Bandarbeyla,SO,9.4942,50.8122,75.56,64,6,18.88,clear sky
203,Hamilton,US,39.1834,-84.5333,29.59,57,75,3.44,broken clouds
204,Nipawin,CA,53.3668,-104.0009,8.64,85,20,17.27,few clouds
205,Aklavik,CA,68.2191,-135.0107,-26.57,68,75,3.44,broken clouds
206,Abu Kamal,SY,34.4506,40.9171,56.7,34,0,4.41,clear sky
207,Batagay-Alyta,RU,67.8006,130.4114,-9.29,84,100,3.29,overcast clouds
208,Mecca,SA,21.4267,39.8261,76.57,39,0,3.29,clear sky
209,Sharan,RU,54.8167,54.0,17.26,96,100,5.1,light snow
210,Valley City,US,46.9233,-98.0032,5.99,78,100,21.85,light snow
211,Meulaboh,ID,4.1363,96.1285,76.46,89,95,3.85,overcast clouds
212,Evensk,RU,61.95,159.2333,-5.58,73,38,9.24,scattered clouds
213,Kijang,KR,35.2442,129.2139,44.33,79,100,9.53,overcast clouds
214,Severo-Kurilsk,RU,50.6789,156.125,21.96,70,43,9.17,scattered clouds
